QueryVars,ProjVars,JoinVars,LonelyNonResultVars,min_cardinality_of_var_in_TP,No.TPs,TP_sizes,QueryRuntime
"['f', 'v', 'e', 'o', 'b', 'w', 't', 'n', 'r', 'i', 'h', 'p']","[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[48, 83, 73, 93, 86, 57, 9, 10, 99, 39, 34, 90]",6,"[59, 34, 64, 73, 37, 75]",8.673254597607238
"['u', 'm', 'j', 'q', 'r', 'c', 't', 'd', 'p', 'b', 'x', 'o', 'i', 'v', 'g', 'f', 'k', 'y', 's', 'a', 'n', 'l', 'w']","[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[61, 38, 40, 84, 69, 41, 78, 43, 91, 90, 41, 100, 49, 22, 28, 32, 30, 4, 94, 9, 51, 59, 70]",5,"[34, 41, 71, 21, 100]",0.20785656140038172
"['i', 't', 'h', 'x', 'f', 'r', 'e', 'a', 'c', 'v', 'q', 'l', 'g', 'w', 'd', 'o', 'b', 'j', 's', 'k', 'y', 'n', 'm', 'p']","[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[90, 90, 72, 59, 51, 94, 89, 64, 15, 14, 28, 2, 75, 34, 45, 9, 52, 21, 41, 97, 79, 11, 72, 31]",4,"[62, 68, 96, 32]",6.027915938001897
"['c', 'q', 'o', 'w', 'b', 'n', 'u', 'k', 'e', 'h', 'g', 's', 'y', 'i', 'r', 'f', 'v']","[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[63, 94, 37, 80, 52, 65, 81, 2, 26, 32, 20, 33, 28, 82, 96, 4, 52]",8,"[94, 88, 7, 55, 40, 84, 33, 95]",8.16409825522644
"['h', 'q', 'g', 'c', 'o', 'p', 'l', 't', 'f', 'i', 'd', 'n', 'e', 'a']","[0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[91, 81, 65, 47, 19, 6, 17, 80, 23, 77, 11, 75, 43, 16]",6,"[54, 21, 17, 94, 53, 45]",2.626810924997566
"['i', 'b']","[1, 1]","[0, 1]","[0, 0]","[6, 43]",7,"[77, 49, 14, 21, 71, 39, 79]",7.522115678284861
"['o', 'y', 'u', 'n', 'p', 's', 'l', 'g', 'v', 'b', 'e', 'a', 'r', 'c', 'w', 'f', 'h', 'x', 't', 'd', 'i', 'q']","[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[24, 4, 34, 13, 85, 27, 15, 3, 75, 20, 30, 85, 13, 32, 87, 67, 62, 60, 37, 92, 26, 72]",10,"[20, 65, 81, 56, 47, 21, 44, 25, 85, 57]",7.950350255491186
"['w', 'x', 'i', 'v']","[1, 1, 1, 0]","[0, 0, 0, 0]","[1, 1, 1, 0]","[60, 15, 53, 26]",8,"[34, 34, 86, 83, 13, 99, 26, 42]",9.00286920235953
"['h', 'n', 'y', 'i', 'w', 'm']","[1, 1, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0]","[1, 0, 0, 1, 0, 0]","[9, 98, 62, 45, 88, 52]",2,"[36, 68]",0.499574649281752
"['u', 'x', 'y', 'o', 'v', 'w', 'm', 'h', 'd', 'e', 'q', 'a', 'f', 'l', 'c', 'k', 's', 'i', 'p', 't', 'n', 'g', 'j']","[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[3, 92, 15, 68, 25, 66, 87, 39, 38, 69, 44, 31, 71, 58, 80, 11, 48, 14, 71, 9, 77, 95, 77]",6,"[48, 81, 91, 51, 85, 3]",3.6705525537183825
"['p', 'j', 'b', 'k', 'm', 'w', 'u', 'c', 'd', 'y', 'i', 'a', 'q', 's']","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]","[97, 46, 40, 71, 15, 25, 38, 70, 34, 48, 35, 74, 82, 45]",1,[6],6.810545691298694
"['q', 'a', 'g', 'r', 'l']","[0, 0, 0, 1, 1]","[0, 0, 1, 1, 0]","[1, 1, 1, 0, 1]","[19, 61, 66, 96, 64]",6,"[96, 54, 86, 88, 30, 11]",4.039727555507388
"['c', 'q', 'f', 'w', 'k', 'i', 't', 'n', 'd']","[0, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1, 0]","[67, 5, 75, 81, 70, 26, 18, 23, 64]",6,"[43, 80, 96, 10, 48, 26]",5.0153415933869345
"['m', 's', 'o', 'j', 'i', 'y', 'n', 'a', 'v', 'q', 'g', 'b', 'x']","[0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[49, 21, 48, 19, 71, 13, 46, 15, 49, 94, 78, 94, 77]",8,"[6, 68, 12, 67, 96, 53, 28, 82]",4.1375620201948395
"['b', 'y', 'q', 'x', 'g', 'c', 'j', 't', 'v', 'd', 'r']","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[76, 51, 75, 74, 80, 58, 18, 15, 8, 43, 93]",3,"[11, 11, 90]",2.4425358188054127
"['a', 'k', 'h', 'x', 't', 'd', 'e', 'u']","[0, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1, 0, 1]","[67, 9, 68, 73, 90, 63, 82, 51]",5,"[29, 13, 78, 20, 18]",7.370707451965405
"['f', 'n', 'v', 'l', 'm', 'q', 'd', 'j', 'o']","[1, 0, 0, 1, 0, 1, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 0, 0, 0, 1, 0, 1]","[93, 21, 4, 96, 100, 45, 41, 65, 28]",1,[75],7.598288364015565
"['n', 'w', 'r', 'u', 'f', 'j', 'v', 's', 'b', 'm']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[31, 39, 44, 44, 38, 57, 2, 23, 56, 76]",2,"[21, 8]",2.73993450775017
"['j', 'd', 'a', 'g']","[1, 0, 1, 0]","[1, 0, 1, 1]","[1, 0, 0, 0]","[71, 85, 54, 84]",5,"[8, 13, 11, 75, 93]",3.6920911955191307
"['n', 't', 'l']","[0, 0, 0]","[0, 0, 0]","[1, 0, 1]","[44, 9, 38]",2,"[29, 67]",1.0099876840920783
"['r', 'q', 'a', 'h', 'e', 'l', 'g', 'k', 'c', 'v', 'f', 'x', 'd']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[45, 68, 52, 20, 21, 97, 11, 12, 8, 65, 1, 13, 53]",9,"[57, 79, 50, 16, 8, 12, 51, 21, 70]",8.979353537455584
"['a', 'h', 'e', 'p', 'm', 'o']","[1, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1]","[79, 48, 93, 34, 35, 91]",10,"[38, 96, 32, 42, 51, 61, 34, 8, 31, 36]",6.817319485789171
"['h', 'a', 'l']","[1, 1, 0]","[0, 0, 1]","[0, 0, 1]","[39, 74, 94]",2,"[36, 66]",2.231437351517165
"['s', 'o', 'p', 'k', 'i', 'h']","[0, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 1]","[13, 65, 57, 37, 44, 37]",8,"[90, 4, 44, 23, 12, 35, 8, 87]",4.494906506394987
"['g', 'j', 'e', 'u', 'p', 'h', 't', 'y', 'l', 'k', 'x', 'd', 's', 'n']","[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1]","[76, 43, 2, 17, 41, 2, 32, 62, 74, 16, 39, 48, 69, 33]",1,[75],6.186639286695591
"['o', 'k']","[1, 1]","[1, 0]","[1, 1]","[73, 25]",5,"[30, 40, 1, 28, 85]",2.763377823094907
"['n', 'j', 'd']","[0, 1, 1]","[1, 0, 1]","[0, 0, 0]","[27, 52, 71]",3,"[4, 10, 21]",3.137608897075915
"['v', 't', 'h', 'o', 'n', 'k', 'b', 'd', 'm', 'q']","[0, 1, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[31, 99, 30, 62, 17, 44, 75, 33, 23, 48]",10,"[96, 23, 10, 45, 53, 26, 16, 10, 32, 33]",1.1472088521859425
"['p', 'm', 'f', 'r', 't', 's', 'g', 'a', 'o', 'l', 'w', 'x', 'k', 'e', 'n']","[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[7, 50, 73, 16, 63, 86, 82, 79, 6, 69, 62, 52, 87, 34, 27]",5,"[71, 21, 28, 50, 5]",3.4780994771006495
"['e', 'w', 'm', 'd', 'j', 'p', 't', 'h']","[1, 1, 0, 0, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[1, 4, 62, 58, 58, 54, 38, 78]",10,"[25, 41, 88, 63, 65, 26, 44, 100, 3, 97]",0.243449845037002
"['l', 'v', 'g', 'd', 'h', 'p', 'i', 'w', 'c', 't', 'a', 'j', 'q', 'x']","[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]","[28, 73, 60, 5, 58, 90, 8, 36, 47, 55, 62, 80, 5, 49]",2,"[6, 6]",0.7047838444805358
['y'],[0],[1],[0],[20],9,"[45, 90, 50, 39, 38, 55, 60, 85, 81]",9.490221287829181
"['w', 's', 'v', 'x', 'o', 'h', 'r', 'c', 'd', 'u', 'y']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]","[49, 81, 9, 69, 91, 94, 67, 44, 61, 29, 8]",9,"[31, 51, 50, 49, 19, 52, 46, 54, 12]",5.084667766745237
"['b', 'h', 'd', 'i', 'g', 'r', 'k', 'f', 'y', 'c', 'j']","[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]","[34, 63, 49, 98, 80, 7, 11, 42, 56, 91, 99]",8,"[41, 33, 86, 9, 99, 55, 84, 43]",9.37830783580364
"['r', 'e', 'g', 'i', 's', 'a', 'x', 'b', 'p', 'm', 'j', 'u', 'q', 'n', 'y', 't', 'w', 'l', 'h', 'v']","[1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]","[91, 22, 33, 65, 4, 35, 55, 37, 97, 18, 12, 99, 81, 80, 45, 9, 99, 69, 77, 6]",4,"[98, 20, 15, 14]",4.858110434148531
"['b', 'e', 'd', 's', 'i', 'c', 'm', 'j', 'o', 'v', 'n', 'l', 'a', 'q', 'u']","[0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[83, 94, 15, 19, 44, 76, 49, 91, 69, 5, 57, 24, 28, 73, 84]",2,"[17, 75]",3.859540361308088
"['a', 'q', 'j', 'p', 'd', 'r', 'v']","[1, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 0, 1]","[27, 3, 56, 16, 86, 73, 99]",1,[19],8.429843191305634
"['f', 'w', 't', 'v', 'o', 'y', 'k', 'n', 'g']","[1, 1, 0, 1, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 0, 1]","[16, 59, 47, 39, 77, 55, 13, 21, 63]",8,"[14, 48, 41, 86, 64, 6, 61, 66]",6.037691886559431
"['d', 'u', 'p', 'j', 'e', 'q', 'i', 'f', 'l', 'r']","[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 1, 1, 1, 0, 1, 0, 0, 0, 1]","[57, 74, 7, 80, 15, 33, 25, 75, 73, 55]",7,"[87, 46, 30, 36, 100, 100, 22]",6.190480481215894
"['g', 'v', 'k', 'h', 'f', 't', 'i', 'c', 'e', 'y', 'u', 'j', 'p', 'w', 's', 'r', 'm', 'x', 'q', 'b', 'a', 'n', 'd']","[1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[62, 82, 13, 64, 13, 63, 50, 42, 29, 41, 36, 10, 37, 43, 80, 81, 32, 24, 17, 69, 37, 47, 46]",2,"[5, 11]",0.8779755080856259
"['e', 'd', 'g', 'u', 'x', 'c', 'o', 'b', 'y', 's', 'n', 't', 'r', 'k', 'h']","[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]","[63, 93, 77, 39, 9, 18, 58, 35, 24, 21, 86, 46, 77, 88, 29]",3,"[22, 59, 9]",5.028216442703639
"['n', 'q', 'k', 'i', 's', 'h', 'f', 'r', 'o', 'p']","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]","[66, 93, 13, 76, 80, 25, 88, 70, 37, 84]",7,"[11, 100, 81, 98, 43, 34, 86]",5.397685021498641
"['q', 'k']","[0, 1]","[1, 1]","[1, 1]","[28, 36]",2,"[45, 71]",4.831836773036564
"['m', 'e', 'b', 'c', 'f', 'q', 'l', 'p', 't', 'w', 'j', 'x', 'n', 'i', 'y', 'a', 'g', 'o', 'r', 'k', 'u']","[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]","[3, 72, 88, 24, 81, 50, 83, 4, 89, 51, 100, 89, 22, 29, 25, 78, 90, 89, 18, 41, 77]",2,"[69, 19]",4.206236200267441
"['r', 'j', 'o', 'f', 'd', 'g', 'w', 'y', 'a', 'u']","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[21, 32, 53, 32, 92, 91, 33, 25, 27, 49]",5,"[8, 65, 16, 10, 66]",8.664622306428939
"['l', 'c', 'y']","[1, 0, 0]","[0, 0, 0]","[0, 1, 0]","[30, 82, 22]",1,[90],5.894766236073597
"['b', 'x', 'u']","[1, 1, 1]","[1, 0, 1]","[1, 0, 0]","[41, 74, 16]",6,"[64, 77, 48, 50, 28, 3]",6.357408220619447
"['l', 'h', 't', 'k', 'b', 'm', 'i', 'd']","[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 0]","[21, 100, 33, 46, 30, 25, 74, 35]",6,"[27, 53, 4, 100, 10, 58]",7.5855419306326635
"['x', 'k', 'o', 'b', 'r', 'w', 'u', 'j', 'm']","[1, 1, 0, 1, 0, 1, 1, 0, 0]","[1, 0, 1, 0, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 0, 0, 0, 0, 0]","[59, 80, 33, 50, 48, 54, 19, 9, 85]",8,"[88, 43, 34, 72, 14, 34, 32, 19]",6.966749372552389
"['t', 'i', 'w', 'r', 'h', 'd', 'j', 'g', 's', 'k', 'a', 'y', 'c', 'x', 'p', 'e']","[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[74, 79, 64, 65, 54, 19, 23, 94, 7, 40, 59, 78, 67, 96, 70, 41]",9,"[67, 70, 17, 72, 97, 72, 88, 78, 73]",4.6897771788300195
"['p', 'b', 'a', 'y']","[1, 1, 0, 1]","[0, 1, 0, 1]","[0, 0, 1, 0]","[25, 61, 63, 66]",6,"[45, 9, 46, 13, 37, 47]",6.94271348336405
"['l', 'k']","[1, 1]","[1, 0]","[1, 0]","[87, 24]",1,[69],2.973962255179723
"['b', 'e', 'm']","[0, 0, 1]","[0, 1, 1]","[0, 0, 1]","[45, 24, 17]",10,"[12, 54, 87, 48, 34, 15, 35, 75, 7, 80]",0.369172344705323
"['w', 'm', 's', 'i', 'o', 'a', 'k', 'r', 'x', 'p', 't', 'u', 'y', 'b', 'q', 'g', 'n', 'v', 'd']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[81, 55, 86, 39, 21, 62, 5, 94, 72, 48, 90, 100, 72, 51, 75, 45, 33, 32, 3]",9,"[52, 56, 36, 52, 79, 76, 2, 43, 18]",2.259228122879229
"['q', 'f', 'b']","[0, 0, 1]","[1, 0, 1]","[0, 0, 0]","[39, 96, 9]",1,[58],1.4187587066317193
"['f', 'w', 'e', 'p', 'd', 'l', 'h', 'n', 'r', 's', 'v', 'j', 'y', 'x', 'c', 'u', 't', 'b', 'a', 'g', 'o', 'm', 'k', 'q']","[0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]","[74, 93, 75, 58, 43, 60, 6, 26, 66, 5, 6, 71, 42, 24, 83, 14, 81, 80, 27, 68, 54, 4, 18, 17]",5,"[67, 60, 82, 33, 11]",6.569492122402471
"['p', 'a', 'o', 'd', 'e', 'w', 'j', 'v', 'n', 'f', 's', 'h', 'k']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0]","[93, 79, 87, 40, 2, 48, 41, 75, 52, 43, 92, 21, 82]",9,"[68, 57, 73, 76, 17, 94, 51, 64, 80]",1.2217298796109872
['d'],[1],[0],[1],[24],7,"[75, 70, 36, 50, 89, 34, 54]",1.3962829514147228
"['d', 'b', 'h', 'f', 'l', 'i', 's', 'j', 'o', 'k', 'q', 'e', 'a', 'v', 'g', 'w', 'm', 'x', 'r', 'u', 'c']","[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[98, 97, 16, 18, 89, 83, 82, 68, 98, 64, 32, 81, 25, 36, 98, 100, 86, 34, 71, 91, 63]",2,"[27, 45]",5.385240195268047
"['b', 'q', 'x', 'w', 'm', 'j', 'r', 's', 'c', 'a', 'p', 't', 'e', 'i', 'l', 'n', 'g', 'd', 'f', 'u', 'o', 'k', 'v']","[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]","[30, 72, 38, 25, 56, 35, 50, 52, 24, 13, 20, 26, 15, 33, 39, 26, 24, 76, 24, 41, 28, 82, 82]",4,"[83, 9, 20, 66]",3.1810787254202735
"['h', 'x', 'f', 'i', 'v', 'b', 'k', 'p', 'a', 'g', 'e', 'm', 'o', 's', 'l', 'y', 'q', 'w', 'r', 'c', 'u']","[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0]","[31, 60, 53, 7, 79, 46, 14, 69, 90, 29, 70, 68, 75, 86, 92, 19, 41, 3, 92, 24, 48]",10,"[37, 93, 43, 17, 56, 87, 69, 58, 68, 73]",3.501105332970699
"['x', 'v', 'j', 'h', 's', 'e', 'm', 'b', 'f', 'g']","[1, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]","[12, 67, 95, 61, 69, 72, 60, 44, 43, 90]",4,"[67, 21, 93, 39]",2.6471519418006544
"['y', 'u', 'c', 'e', 'j', 'h', 'd', 'w', 'g', 'b', 'p', 'q', 'l', 'a', 'm', 's']","[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0]","[1, 87, 64, 80, 26, 85, 54, 97, 42, 49, 62, 95, 22, 99, 10, 18]",6,"[17, 86, 85, 33, 3, 51]",9.625249115929781
"['e', 'q', 'a', 'n', 'c', 'w', 'k', 't']","[0, 1, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[9, 69, 49, 25, 61, 24, 31, 87]",9,"[64, 65, 8, 66, 35, 93, 97, 42, 93]",1.961881877970119
"['w', 'h', 'f', 'k', 'a', 't', 'u', 'y']","[0, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 1]","[98, 24, 63, 36, 33, 10, 29, 35]",10,"[54, 91, 25, 66, 94, 60, 59, 6, 76, 59]",0.7180704002818017
"['s', 't', 'm', 'f', 'p', 'h', 'y', 'l', 'w', 'e', 'a', 'c', 'x', 'r', 'd', 'k', 'o', 'j']","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[32, 57, 18, 69, 27, 63, 99, 20, 3, 84, 85, 76, 22, 24, 61, 10, 51, 28]",6,"[10, 30, 85, 76, 5, 78]",2.6270912449585424
